Time [s],Raw altitude [km],Raw speed [m/s],Smoothed altitude [km],Smoothed speed [m/s],Downrange distance [km],Horizontal speed [m/s],Vertical speed [m/s],Total acceleration [m/s^2],Horizontal acceleration [m/s^2],Vertical acceleration [m/s^2],Mach number,Dynamic pressure [kPa],Specific orbital energy [MJ/kg],Perigee altitude [km]
333,77,750,76.8,749.4,107.2,-118.7,-739.9,9.5,-1.1,-9.5,2.6,0.0,-61.4,-6354.4
334,76,759,76.0,759.2,107.1,-121.5,-749.4,9.5,-1.1,-9.5,2.6,0.0,-61.4,-6354.5
335,75,769,75.3,768.6,107.0,-122.1,-758.9,9.5,-1.0,-9.5,2.7,0.0,-61.4,-6354.3
336,75,778,74.5,778.2,106.9,-123.6,-768.4,9.5,-1.0,-9.5,2.7,0.0,-61.4,-6354.3
337,74,788,73.8,787.6,106.7,-123.1,-777.9,9.5,-0.9,-9.5,2.7,0.0,-61.4,-6354.2
338,73,797,73.0,797.4,106.6,-125.4,-787.5,9.5,-0.8,-9.5,2.7,0.0,-61.4,-6354.3
339,72,808,72.2,806.9,106.5,-125.9,-797.1,9.5,-0.8,-9.5,2.8,0.0,-61.4,-6353.9
340,72,816,71.4,816.2,106.4,-124.8,-806.6,9.5,-0.8,-9.5,2.8,0.0,-61.4,-6354.1
341,71,825,70.6,825.4,106.2,-123.2,-816.1,9.5,-0.9,-9.5,2.8,0.0,-61.4,-6354.6
342,70,835,69.8,834.7,106.1,-122.5,-825.7,9.5,-1.1,-9.4,2.8,0.0,-61.4,-6354.2
343,69,844,68.9,844.7,106.0,-126.3,-835.2,9.5,-1.3,-9.4,2.8,0.0,-61.4,-6354.3
344,68,855,68.0,854.5,105.9,-129.1,-844.7,9.5,-1.5,-9.4,2.8,0.0,-61.4,-6353.9
345,67,864,67.2,864.5,105.7,-133.1,-854.2,9.5,-1.8,-9.3,2.9,0.0,-61.4,-6353.8
346,67,874,66.4,874.3,105.6,-135.0,-863.8,9.5,-2.1,-9.3,2.9,0.1,-61.4,-6353.6
347,66,884,65.5,883.9,105.5,-136.1,-873.3,9.6,-2.4,-9.3,2.9,0.1,-61.4,-6353.6
348,65,893,64.6,893.1,105.3,-134.9,-882.9,9.6,-2.8,-9.2,2.9,0.1,-61.4,-6353.6
349,64,902,63.7,902.7,105.2,-136.1,-892.4,9.6,-3.1,-9.1,2.9,0.1,-61.4,-6353.8
350,63,912,62.8,912.3,105.0,-138.2,-901.8,9.7,-3.4,-9.0,2.9,0.1,-61.4,-6353.4
351,62,922,61.9,921.8,104.9,-139.0,-911.2,9.7,-3.8,-8.9,3.0,0.1,-61.4,-6353.2
352,61,931,61.0,931.0,104.8,-138.7,-920.6,9.8,-4.2,-8.8,3.0,0.1,-61.4,-6353.6
353,60,940,60.0,940.0,104.6,-136.7,-930.0,9.9,-4.7,-8.7,3.0,0.1,-61.4,-6353.4
354,59,949,59.0,949.2,104.5,-136.7,-939.3,10.0,-5.3,-8.6,3.0,0.2,-61.4,-6353.6
355,59,958,58.1,958.2,104.4,-136.5,-948.5,10.2,-5.9,-8.4,3.0,0.2,-61.4,-6353.7
356,58,968,57.1,968.0,104.2,-141.4,-957.6,10.4,-6.5,-8.2,3.0,0.2,-61.4,-6353.5
357,56,978,56.1,978.0,104.1,-148.9,-966.6,10.7,-7.1,-8.0,3.0,0.2,-61.4,-6352.7
358,55,988,55.1,988.1,103.9,-158.4,-975.4,10.9,-7.7,-7.8,3.1,0.3,-61.4,-6352.3
359,54,998,54.1,997.7,103.7,-164.7,-984.0,11.2,-8.3,-7.5,3.1,0.3,-61.4,-6351.7
360,53,1007,53.1,1007.0,103.6,-170.6,-992.5,11.5,-9.0,-7.3,3.1,0.4,-61.4,-6351.5
361,53,1016,52.1,1016.5,103.4,-178.2,-1000.7,11.9,-9.6,-6.9,3.1,0.4,-61.4,-6351.2
362,51,1026,51.1,1026.4,103.2,-189.4,-1008.8,12.3,-10.3,-6.6,3.1,0.5,-61.4,-6350.3
363,50,1037,50.1,1036.3,103.0,-201.5,-1016.5,12.7,-11.0,-6.3,3.1,0.5,-61.4,-6349.4
364,49,1046,49.1,1046.0,102.8,-213.4,-1024.0,13.1,-11.7,-5.9,3.2,0.6,-61.3,-6348.8
365,48,1056,48.1,1054.9,102.6,-222.2,-1031.2,13.6,-12.4,-5.4,3.2,0.7,-61.3,-6347.9
366,47,1063,47.0,1063.4,102.3,-230.8,-1038.1,14.0,-13.1,-5.0,3.2,0.8,-61.3,-6347.5
367,46,1071,45.9,1072.0,102.1,-241.8,-1044.4,14.5,-13.8,-4.5,3.3,1.0,-61.3,-6346.9
368,45,1081,44.9,1081.6,101.8,-258.4,-1050.3,14.9,-14.4,-4.0,3.3,1.2,-61.3,-6345.6
369,44,1092,43.8,1091.8,101.6,-278.7,-1055.6,15.4,-15.0,-3.4,3.4,1.4,-61.3,-6344.0
370,43,1102,42.8,1101.5,101.3,-297.9,-1060.4,15.7,-15.4,-2.8,3.4,1.6,-61.3,-6342.5
371,42,1111,41.7,1110.6,100.9,-315.8,-1064.7,15.9,-15.7,-2.2,3.5,1.9,-61.3,-6341.2
372,41,1119,40.5,1118.9,100.6,-332.5,-1068.4,15.9,-15.9,-1.6,3.5,2.3,-61.3,-6339.8
373,40,1127,39.4,1127.5,100.3,-351.7,-1071.2,15.8,-15.8,-0.9,3.6,2.8,-61.3,-6338.5
374,39,1136,38.3,1136.5,99.9,-373.4,-1073.4,15.5,-15.5,-0.2,3.6,3.3,-61.3,-6336.6
375,37,1146,37.2,1145.9,99.5,-397.4,-1074.8,15.0,-15.0,0.5,3.7,4.0,-61.3,-6334.4
376,36,1155,36.1,1154.8,99.1,-420.9,-1075.4,14.3,-14.2,1.2,3.7,4.8,-61.3,-6332.3
377,35,1163,35.0,1163.0,98.6,-443.5,-1075.1,13.4,-13.2,2.0,3.8,5.8,-61.3,-6330.3
378,34,1171,33.8,1170.8,98.2,-466.5,-1073.9,12.2,-11.9,2.7,3.8,7.0,-61.2,-6328.3
379,33,1179,32.7,1178.2,97.7,-489.4,-1071.8,10.8,-10.3,3.4,3.9,8.5,-61.2,-6325.9
380,32,1185,31.5,1185.0,97.2,-511.9,-1068.7,9.1,-8.1,4.1,3.9,10.3,-61.2,-6323.8
381,30,1191,30.3,1190.8,96.6,-533.6,-1064.6,7.3,-5.5,4.8,3.9,12.5,-61.2,-6321.7
382,29,1196,29.1,1196.1,96.1,-555.3,-1059.4,5.9,-2.1,5.5,4.0,15.1,-61.2,-6319.4
383,28,1201,27.9,1200.6,95.5,-576.4,-1053.1,6.4,1.5,6.2,4.0,18.3,-61.2,-6317.1
384,27,1204,26.7,1203.6,94.9,-595.7,-1045.8,8.3,4.7,6.8,4.0,22.2,-61.2,-6315.1
385,25,1206,25.5,1205.0,94.3,-612.8,-1037.5,10.5,7.4,7.5,4.0,26.8,-61.2,-6313.2
386,25,1205,24.4,1204.6,93.7,-627.6,-1028.2,12.4,9.4,8.0,4.0,32.1,-61.2,-6311.6
387,23,1203,23.2,1202.2,93.0,-639.6,-1018.0,13.6,10.5,8.6,4.0,38.3,-61.2,-6310.2
388,22,1198,22.1,1197.2,92.4,-647.9,-1006.8,14.4,11.1,9.1,4.0,45.5,-61.2,-6309.3
389,21,1190,21.0,1187.5,91.7,-649.0,-994.5,15.2,11.8,9.7,4.0,53.8,-61.3,-6308.8
390,19,1174,19.8,1173.5,91.1,-644.4,-980.8,16.2,12.5,10.3,4.0,63.1,-61.3,-6309.9
391,18,1156,18.7,1155.6,90.4,-634.0,-966.1,17.2,13.2,11.1,3.9,72.6,-61.3,-6311.0
392,17,1136,17.7,1133.6,89.8,-616.7,-951.2,18.4,13.9,12.0,3.8,82.4,-61.4,-6312.5
393,16,1108,16.6,1107.6,89.2,-591.9,-936.2,19.5,14.7,12.9,3.8,92.7,-61.4,-6315.7
394,15,1078,15.6,1077.6,88.7,-559.2,-921.2,20.7,15.4,13.9,3.7,102.6,-61.5,-6319.1
395,14,1046,14.6,1041.8,88.2,-514.0,-906.1,21.9,16.1,14.8,3.5,112.2,-61.5,-6323.0
396,13,1001,13.7,1001.6,87.7,-457.1,-891.2,23.0,16.8,15.6,3.4,120.4,-61.6,-6329.6
397,12,958,12.7,954.7,87.3,-378.8,-876.3,24.1,17.5,16.4,3.2,127.1,-61.7,-6335.7
398,11,906,11.8,907.1,87.0,-283.5,-861.7,25.0,18.2,17.2,3.1,132.2,-61.8,-6344.3
399,10,858,11.0,859.4,86.9,-143.9,-847.2,26.0,18.8,17.9,2.9,135.5,-61.9,-6354.0
400,9,814,10.1,814.5,86.9,-0.0,-833.0,26.8,19.4,18.5,2.7,135.6,-62.0,-6361.0
401,9,771,9.3,771.4,86.9,-0.0,-819.0,27.6,19.9,19.1,2.6,133.5,-62.0,-6361.0
402,8,728,8.6,729.5,86.9,-0.0,-805.3,28.2,20.3,19.6,2.4,130.8,-62.1,-6361.0
403,7,689,7.9,689.0,86.9,-0.0,-792.1,28.8,20.7,20.0,2.2,126.9,-62.1,-6361.0
404,7,650,7.2,648.3,86.9,-0.0,-779.3,29.4,21.2,20.4,2.1,121.3,-62.1,-6361.0
405,6,606,6.5,608.5,86.9,-0.0,-766.9,29.9,21.5,20.7,1.9,115.3,-62.1,-6361.0
406,5,569,5.9,568.3,86.9,-0.0,-755.1,30.2,21.8,20.9,1.8,107.7,-62.1,-6361.0
407,5,529,5.3,533.7,86.9,-0.0,-721.8,30.5,22.0,21.0,1.7,101.2,-62.2,-6361.0
408,4,502,4.8,501.0,86.9,-0.0,-689.0,30.6,22.2,21.1,1.6,94.8,-62.2,-6361.0
409,4,471,4.2,473.0,86.9,-0.0,-656.9,30.6,22.2,21.1,1.5,89.4,-62.2,-6361.0
410,3,445,3.8,445.7,86.9,-0.0,-625.4,30.6,22.2,21.1,1.4,83.5,-62.2,-6361.0
411,3,421,3.3,422.4,86.9,-0.0,-594.7,30.6,22.2,21.1,1.3,78.7,-62.3,-6361.0
412,2,401,2.8,402.7,86.9,-0.0,-564.8,30.6,22.2,21.1,1.2,75.1,-62.3,-6361.0
413,2,386,2.3,386.2,86.9,-0.0,-535.7,30.6,22.2,21.1,1.2,72.5,-62.3,-6361.0
414,2,371,1.9,372.7,86.9,-0.0,-507.3,30.6,22.2,21.1,1.1,70.8,-62.3,-6361.0
415,1,361,1.4,360.5,86.9,-0.0,-479.7,30.6,22.2,21.1,1.1,69.4,-62.3,-6361.0
416,1,349,0.9,348.2,86.9,-0.0,-452.8,30.6,22.2,21.1,1.0,67.9,-62.4,-6361.0
417,1,335,0.5,335.4,86.9,-0.0,-426.7,30.6,22.2,21.1,1.0,65.9,-62.4,-6361.0
418,0,322,0.0,322.5,86.9,-0.0,-401.4,30.6,22.2,21.1,0.9,63.7,-62.4,-6361.0
419,0,311,0.0,313.8,86.9,-0.0,-377.0,30.6,22.2,21.1,0.9,60.3,-62.4,-6361.0
420,0,309,0.0,307.0,86.9,-0.0,-353.9,30.6,22.2,21.1,0.9,57.7,-62.4,-6361.0
